Processes,Size,Algorithm,Latency
2,2,1,0.38
2,2,2,4.75
2,2,3,0.27
2,4,1,0.38
2,4,2,7.04
2,4,3,0.31
2,8,1,0.35
2,8,2,7.59
2,8,3,0.28
2,16,1,0.36
2,16,2,4.83
2,16,3,0.27
2,32,1,0.37
2,32,2,4.79
2,32,3,0.33
2,64,1,0.36
2,64,2,7.21
2,64,3,0.32
2,128,1,0.38
2,128,2,7.25
2,128,3,0.27
2,256,1,0.36
2,256,2,7.10
2,256,3,0.27
2,512,1,0.36
2,512,2,7.37
2,512,3,0.25
2,1024,1,0.37
2,1024,2,7.45
2,1024,3,0.26
2,2048,1,0.39
2,2048,2,4.80
2,2048,3,0.24
2,4096,1,0.36
2,4096,2,7.60
2,4096,3,0.25
2,8192,1,0.35
2,8192,2,5.38
2,8192,3,0.25
2,16384,1,0.38
2,16384,2,4.82
2,16384,3,0.27
2,32768,1,0.36
2,32768,2,7.38
2,32768,3,0.26
2,65536,1,0.39
2,65536,2,4.83
2,65536,3,0.26
2,131072,1,0.36
2,131072,2,7.83
2,131072,3,0.26
2,262144,1,0.37
2,262144,2,4.84
2,262144,3,0.26
2,524288,1,0.38
2,524288,2,4.84
2,524288,3,0.25
2,1048576,1,0.36
2,1048576,2,4.73
2,1048576,3,0.26
4,2,1,1.24
4,2,2,19.70
4,2,3,0.68
4,4,1,1.33
4,4,2,14.82
4,4,3,0.65
4,8,1,0.74
4,8,2,13.28
4,8,3,0.66
4,16,1,1.30
4,16,2,13.95
4,16,3,0.67
4,32,1,3.76
4,32,2,12.50
4,32,3,0.67
4,64,1,1.19
4,64,2,12.63
4,64,3,0.92
4,128,1,1.26
4,128,2,11.25
4,128,3,0.66
4,256,1,1.23
4,256,2,13.29
4,256,3,0.67
4,512,1,0.81
4,512,2,11.22
4,512,3,0.69
4,1024,1,0.90
4,1024,2,12.31
4,1024,3,0.66
4,2048,1,1.29
4,2048,2,13.07
4,2048,3,0.66
4,4096,1,4.55
4,4096,2,13.68
4,4096,3,0.67
4,8192,1,1.39
4,8192,2,13.80
4,8192,3,0.66
4,16384,1,0.73
4,16384,2,11.40
4,16384,3,0.69
4,32768,1,0.75
4,32768,2,13.57
4,32768,3,0.66
4,65536,1,0.74
4,65536,2,15.37
4,65536,3,0.66
4,131072,1,1.28
4,131072,2,10.88
4,131072,3,0.68
4,262144,1,0.89
4,262144,2,13.97
4,262144,3,0.65
4,524288,1,0.77
4,524288,2,12.44
4,524288,3,0.75
4,1048576,1,3.74
4,1048576,2,14.91
4,1048576,3,0.67
6,2,1,4.15
6,2,2,16.70
6,2,3,3.81
6,4,1,4.44
6,4,2,16.75
