Processes,Size,Algorithm,Latency
2,2,1,0.19
2,2,2,0.84
2,2,3,0.88
2,2,4,1.22
2,4,1,0.20
2,4,2,0.21
2,4,3,0.21
2,4,4,0.31
2,8,1,0.20
2,8,2,0.23
2,8,3,0.27
2,8,4,0.25
2,16,1,0.22
2,16,2,0.26
2,16,3,0.23
2,16,4,0.28
2,32,1,0.27
2,32,2,0.27
2,32,3,0.25
2,32,4,0.27
2,64,1,0.24
2,64,2,0.28
2,64,3,0.30
2,64,4,0.32
2,128,1,2.17
2,128,2,2.27
2,128,3,2.18
2,128,4,0.42
2,256,1,2.27
2,256,2,2.58
2,256,3,1.99
2,256,4,4.77
2,512,1,2.36
2,512,2,2.30
2,512,3,2.28
2,512,4,4.27
2,1024,1,2.32
2,1024,2,2.46
2,1024,3,2.51
2,1024,4,3.34
2,2048,1,4.93
2,2048,2,4.39
2,2048,3,4.19
2,2048,4,2.49
2,4096,1,7.00
2,4096,2,7.08
2,4096,3,7.02
2,4096,4,4.94
2,8192,1,6.30
2,8192,2,5.95
2,8192,3,6.57
2,8192,4,8.83
2,16384,1,3.31
2,16384,2,3.28
2,16384,3,3.41
2,16384,4,8.39
2,32768,1,5.40
2,32768,2,5.40
2,32768,3,5.41
2,32768,4,8.85
2,65536,1,8.14
2,65536,2,7.10
2,65536,3,7.08
2,65536,4,9.64
2,131072,1,10.08
2,131072,2,10.17
2,131072,3,10.09
2,131072,4,16.35
2,262144,1,16.13
2,262144,2,16.26
2,262144,3,16.15
2,262144,4,29.54
2,524288,1,30.02
2,524288,2,30.55
2,524288,3,29.81
2,524288,4,33.66
2,1048576,1,61.53
2,1048576,2,62.39
2,1048576,3,60.70
2,1048576,4,64.99
4,2,1,0.82
4,2,2,0.37
4,2,3,0.93
4,2,4,0.56
4,4,1,0.72
4,4,2,0.44
4,4,3,0.63
4,4,4,0.52
4,8,1,0.23
4,8,2,0.27
4,8,3,0.50
4,8,4,0.51
4,16,1,0.20
4,16,2,0.22
4,16,3,0.47
4,16,4,0.50
4,32,1,0.29
4,32,2,0.21
4,32,3,0.50
4,32,4,0.67
4,64,1,0.32
4,64,2,0.32
4,64,3,0.57
4,64,4,0.71
4,128,1,4.68
4,128,2,4.75
4,128,3,4.79
4,128,4,0.78
4,256,1,5.34
4,256,2,6.64
4,256,3,6.73
4,256,4,10.29
4,512,1,5.03
4,512,2,4.88
4,512,3,4.41
4,512,4,9.68
4,1024,1,6.64
4,1024,2,5.82
4,1024,3,6.51
4,1024,4,7.47
4,2048,1,9.87
4,2048,2,9.57
4,2048,3,10.10
4,2048,4,8.75
4,4096,1,14.11
4,4096,2,12.22
4,4096,3,14.53
4,4096,4,13.17
4,8192,1,13.43
4,8192,2,14.27
4,8192,3,15.30
4,8192,4,20.49
4,16384,1,6.12
4,16384,2,6.21
4,16384,3,10.74
4,16384,4,20.08
4,32768,1,9.39
4,32768,2,9.85
4,32768,3,17.37
4,32768,4,18.53
4,65536,1,15.53
4,65536,2,16.35
4,65536,3,25.11
4,65536,4,22.39
4,131072,1,28.09
4,131072,2,28.12
4,131072,3,38.33
4,131072,4,31.76
4,262144,1,48.52
4,262144,2,52.10
4,262144,3,68.79
4,262144,4,51.79
4,524288,1,105.30
4,524288,2,106.30
4,524288,3,133.09
4,524288,4,91.84
4,1048576,1,218.29
4,1048576,2,203.73
4,1048576,3,247.76
4,1048576,4,171.69
6,2,1,0.94
6,2,2,1.01
6,2,3,2.15
6,2,4,1.06
6,4,1,0.40
6,4,2,0.42
6,4,3,0.92
6,4,4,0.72
6,8,1,0.37
6,8,2,0.39
6,8,3,0.80
6,8,4,0.76
6,16,1,0.33
6,16,2,0.39
6,16,3,0.83
6,16,4,1.28
6,32,1,0.32
6,32,2,1.11
6,32,3,1.07
6,32,4,0.82
6,64,1,0.46
6,64,2,0.43
6,64,3,0.94
6,64,4,2.42
6,128,1,7.02
6,128,2,6.04
6,128,3,13.02
6,128,4,0.88
6,256,1,7.91
6,256,2,6.99
6,256,3,8.29
6,256,4,9.28
6,512,1,5.49
6,512,2,4.96
6,512,3,6.23
6,512,4,9.57
6,1024,1,6.86
6,1024,2,5.36
6,1024,3,8.66
6,1024,4,20.57
6,2048,1,10.47
6,2048,2,8.49
6,2048,3,12.21
6,2048,4,10.05
6,4096,1,18.48
6,4096,2,15.61
6,4096,3,25.61
6,4096,4,34.25
6,8192,1,15.78
6,8192,2,14.31
6,8192,3,19.79
6,8192,4,25.07
6,16384,1,6.93
6,16384,2,8.88
6,16384,3,15.48
6,16384,4,27.61
6,32768,1,12.24
6,32768,2,12.95
6,32768,3,22.33
6,32768,4,36.59
6,65536,1,23.54
6,65536,2,24.36
6,65536,3,35.49
6,65536,4,30.04
6,131072,1,54.74
6,131072,2,44.74
6,131072,3,60.62
6,131072,4,40.86
6,262144,1,90.36
6,262144,2,87.09
6,262144,3,121.60
6,262144,4,89.40
6,524288,1,184.21
6,524288,2,174.41
6,524288,3,219.31
6,524288,4,144.00
6,1048576,1,300.98
6,1048576,2,343.10
6,1048576,3,439.58
6,1048576,4,275.95
8,2,1,1.18
8,2,2,2.35
8,2,3,2.26
8,2,4,1.71
8,4,1,0.69
8,4,2,0.65
8,4,3,1.30
8,4,4,1.63
8,8,1,0.69
8,8,2,0.59
8,8,3,1.31
8,8,4,0.95
8,16,1,0.54
8,16,2,0.57
8,16,3,1.31
8,16,4,1.83
8,32,1,1.20
8,32,2,0.92
8,32,3,1.75
8,32,4,0.95
8,64,1,0.90
8,64,2,0.82
8,64,3,1.92
8,64,4,1.12
8,128,1,9.84
8,128,2,17.95
8,128,3,10.59
8,128,4,1.14
8,256,1,9.70
8,256,2,14.87
8,256,3,10.08
8,256,4,10.22
8,512,1,12.28
8,512,2,9.02
8,512,3,12.56
8,512,4,7.13
8,1024,1,13.73
8,1024,2,21.64
8,1024,3,14.57
8,1024,4,9.09
8,2048,1,11.40
8,2048,2,17.44
8,2048,3,21.24
8,2048,4,14.56
8,4096,1,20.79
8,4096,2,16.84
8,4096,3,38.82
8,4096,4,14.67
8,8192,1,24.60
8,8192,2,19.94
8,8192,3,32.48
8,8192,4,22.01
8,16384,1,12.59
8,16384,2,10.79
8,16384,3,22.57
8,16384,4,33.69
8,32768,1,14.85
8,32768,2,16.55
8,32768,3,30.17
8,32768,4,39.89
8,65536,1,24.68
8,65536,2,29.19
8,65536,3,52.38
8,65536,4,41.26
8,131072,1,59.22
8,131072,2,55.34
8,131072,3,84.42
8,131072,4,50.32
8,262144,1,116.22
8,262144,2,105.08
8,262144,3,158.39
8,262144,4,74.59
8,524288,1,235.64
8,524288,2,213.89
8,524288,3,301.78
8,524288,4,195.75
8,1048576,1,418.13
8,1048576,2,428.99
8,1048576,3,567.46
8,1048576,4,321.24
10,2,1,2.69
10,2,2,7.17
10,2,3,4.91
10,2,4,2.71
10,4,1,2.47
10,4,2,2.64
10,4,3,3.51
10,4,4,5.24
10,8,1,2.18
10,8,2,2.10
10,8,3,2.71
10,8,4,5.54
10,16,1,1.78
10,16,2,1.94
10,16,3,2.71
10,16,4,1.87
10,32,1,2.68
10,32,2,2.28
10,32,3,6.84
10,32,4,2.56
10,64,1,1.32
10,64,2,1.69
10,64,3,2.30
10,64,4,3.03
10,128,1,11.67
10,128,2,7.85
10,128,3,13.26
10,128,4,1.51
10,256,1,12.89
10,256,2,8.02
10,256,3,13.92
10,256,4,19.47
10,512,1,13.08
10,512,2,9.30
10,512,3,16.83
10,512,4,11.41
10,1024,1,15.23
10,1024,2,9.97
10,1024,3,18.87
10,1024,4,12.21
10,2048,1,15.50
10,2048,2,18.79
10,2048,3,21.90
10,2048,4,14.19
10,4096,1,52.89
10,4096,2,18.43
10,4096,3,41.00
10,4096,4,29.20
10,8192,1,30.59
10,8192,2,22.40
10,8192,3,44.23
10,8192,4,29.70
10,16384,1,10.62
10,16384,2,12.71
10,16384,3,27.69
10,16384,4,31.14
10,32768,1,19.67
10,32768,2,19.57
10,32768,3,39.32
10,32768,4,56.86
10,65536,1,37.37
10,65536,2,36.87
10,65536,3,59.87
10,65536,4,37.89
10,131072,1,76.88
10,131072,2,63.13
10,131072,3,104.82
10,131072,4,59.77
10,262144,1,150.94
10,262144,2,118.67
10,262144,3,195.04
10,262144,4,81.45
10,524288,1,259.07
10,524288,2,237.33
10,524288,3,363.79
10,524288,4,186.99
10,1048576,1,539.55
10,1048576,2,432.67
10,1048576,3,701.63
10,1048576,4,370.74
12,2,1,2.25
12,2,2,2.58
12,2,3,3.44
12,2,4,3.08
12,4,1,2.02
12,4,2,2.23
12,4,3,3.00
12,4,4,2.15
12,8,1,1.69
12,8,2,1.68
12,8,3,2.68
12,8,4,2.05
12,16,1,1.43
12,16,2,1.54
12,16,3,2.75
12,16,4,1.81
12,32,1,2.38
12,32,2,1.73
12,32,3,3.72
