Processes,Size,Algorithm,Latency
2,2,1,0.36
2,2,2,7.42
2,2,3,0.56
2,4,1,0.36
2,4,2,7.12
2,4,3,0.26
2,8,1,0.36
2,8,2,5.23
2,8,3,0.73
2,16,1,0.37
2,16,2,4.68
2,16,3,0.46
2,32,1,0.37
2,32,2,7.04
2,32,3,0.48
2,64,1,0.39
2,64,2,5.00
2,64,3,0.27
2,128,1,0.38
2,128,2,4.69
2,128,3,0.46
2,256,1,0.40
2,256,2,4.90
2,256,3,0.28
2,512,1,0.43
2,512,2,7.37
2,512,3,0.26
2,1024,1,0.38
2,1024,2,7.86
2,1024,3,0.27
2,2048,1,0.36
2,2048,2,7.54
2,2048,3,0.82
2,4096,1,0.39
2,4096,2,4.83
2,4096,3,0.27
2,8192,1,0.38
2,8192,2,4.88
2,8192,3,0.26
2,16384,1,0.37
2,16384,2,4.85
2,16384,3,0.26
2,32768,1,0.37
2,32768,2,7.96
2,32768,3,0.28
2,65536,1,0.37
2,65536,2,4.89
2,65536,3,0.29
2,131072,1,0.39
2,131072,2,6.96
2,131072,3,0.27
2,262144,1,0.38
2,262144,2,7.53
2,262144,3,0.27
2,524288,1,0.37
2,524288,2,4.84
2,524288,3,0.27
2,1048576,1,0.37
2,1048576,2,6.95
2,1048576,3,0.27
4,2,1,0.70
4,2,2,13.16
4,2,3,0.66
4,4,1,0.71
4,4,2,13.67
4,4,3,0.71
4,8,1,0.72
4,8,2,16.81
4,8,3,0.76
4,16,1,0.74
4,16,2,12.91
4,16,3,0.66
4,32,1,0.93
4,32,2,15.34
4,32,3,0.66
4,64,1,0.67
4,64,2,11.65
4,64,3,0.88
4,128,1,1.26
4,128,2,12.87
4,128,3,0.66
4,256,1,3.30
4,256,2,13.75
4,256,3,0.67
4,512,1,1.29
4,512,2,12.01
4,512,3,0.70
4,1024,1,0.76
4,1024,2,13.25
4,1024,3,0.65
4,2048,1,1.41
4,2048,2,15.25
4,2048,3,0.76
4,4096,1,0.73
4,4096,2,12.54
4,4096,3,0.68
4,8192,1,0.77
4,8192,2,13.88
4,8192,3,0.66
4,16384,1,0.80
4,16384,2,13.37
4,16384,3,0.68
4,32768,1,0.74
4,32768,2,13.65
4,32768,3,0.68
4,65536,1,1.29
4,65536,2,11.22
4,65536,3,0.74
4,131072,1,0.77
4,131072,2,13.18
4,131072,3,0.75
4,262144,1,1.19
4,262144,2,15.67
4,262144,3,0.83
4,524288,1,1.51
4,524288,2,11.63
4,524288,3,0.65
4,1048576,1,0.89
4,1048576,2,15.33
4,1048576,3,0.76
6,2,1,4.47
6,2,2,16.85
6,2,3,3.93
6,4,1,5.75
6,4,2,16.39
6,4,3,3.81
6,8,1,5.14
6,8,2,18.45
6,8,3,15.33
6,16,1,5.33
6,16,2,16.66
6,16,3,6.50
6,32,1,4.52
6,32,2,16.91
6,32,3,3.88
6,64,1,4.19
6,64,2,18.89
6,64,3,3.74
6,128,1,3.75
6,128,2,16.51
6,128,3,3.77
6,256,1,5.28
6,256,2,17.04
6,256,3,3.81
6,512,1,4.26
6,512,2,16.54
6,512,3,8.38
6,1024,1,4.46
6,1024,2,17.87
6,1024,3,3.82
6,2048,1,6.02
6,2048,2,16.77
6,2048,3,4.60
6,4096,1,6.25
6,4096,2,16.91
6,4096,3,3.94
6,8192,1,5.23
6,8192,2,16.50
6,8192,3,5.83
6,16384,1,4.28
6,16384,2,17.59
6,16384,3,3.82
6,32768,1,4.25
6,32768,2,19.88
6,32768,3,3.77
6,65536,1,4.89
6,65536,2,23.00
6,65536,3,3.81
6,131072,1,4.48
6,131072,2,16.20
6,131072,3,3.95
6,262144,1,3.73
6,262144,2,16.50
6,262144,3,3.79
6,524288,1,3.60
6,524288,2,16.40
6,524288,3,3.71
6,1048576,1,5.05
6,1048576,2,16.58
6,1048576,3,3.84
8,2,1,4.43
8,2,2,21.98
8,2,3,1.00
8,4,1,4.92
8,4,2,22.22
8,4,3,0.96
8,8,1,4.86
8,8,2,22.52
8,8,3,0.98
8,16,1,4.33
8,16,2,22.55
8,16,3,1.53
8,32,1,4.29
8,32,2,26.72
8,32,3,0.95
8,64,1,3.65
8,64,2,27.13
8,64,3,1.82
8,128,1,3.82
8,128,2,22.58
8,128,3,0.95
8,256,1,3.49
8,256,2,24.23
8,256,3,1.15
8,512,1,2.48
8,512,2,28.75
8,512,3,0.95
8,1024,1,3.36
8,1024,2,22.29
8,1024,3,1.67
8,2048,1,3.35
8,2048,2,29.63
8,2048,3,1.41
8,4096,1,3.47
8,4096,2,24.35
8,4096,3,1.85
8,8192,1,4.09
8,8192,2,23.56
8,8192,3,1.02
8,16384,1,3.24
8,16384,2,25.13
8,16384,3,1.63
8,32768,1,4.71
8,32768,2,22.85
8,32768,3,0.98
8,65536,1,3.88
8,65536,2,24.43
8,65536,3,0.99
8,131072,1,4.79
8,131072,2,24.45
8,131072,3,1.92
8,262144,1,3.08
8,262144,2,21.94
8,262144,3,1.01
8,524288,1,3.07
8,524288,2,21.89
8,524288,3,4.12
8,1048576,1,3.24
8,1048576,2,24.44
8,1048576,3,1.00
10,2,1,1.82
10,2,2,32.85
10,2,3,7.68
10,4,1,1.75
10,4,2,38.79
10,4,3,4.81
10,8,1,1.93
10,8,2,28.19
10,8,3,11.07
10,16,1,1.76
10,16,2,30.54
10,16,3,5.29
10,32,1,1.67
10,32,2,30.68
10,32,3,9.32
10,64,1,1.88
10,64,2,30.79
10,64,3,4.38
10,128,1,1.74
10,128,2,30.36
10,128,3,6.21
10,256,1,1.72
10,256,2,27.62
10,256,3,4.96
10,512,1,1.80
10,512,2,32.52
10,512,3,6.16
10,1024,1,1.84
10,1024,2,49.64
10,1024,3,5.31
10,2048,1,1.80
10,2048,2,30.76
10,2048,3,5.06
10,4096,1,2.19
10,4096,2,31.84
10,4096,3,4.40
10,8192,1,1.75
10,8192,2,31.46
10,8192,3,4.86
10,16384,1,1.87
10,16384,2,27.84
10,16384,3,4.59
10,32768,1,1.81
10,32768,2,29.48
10,32768,3,4.32
10,65536,1,1.79
10,65536,2,28.77
10,65536,3,4.31
10,131072,1,1.93
10,131072,2,32.13
10,131072,3,23.26
10,262144,1,3.48
10,262144,2,30.29
10,262144,3,4.64
10,524288,1,1.94
10,524288,2,41.79
10,524288,3,4.62
10,1048576,1,1.67
10,1048576,2,27.60
10,1048576,3,4.62
12,2,1,2.37
12,2,2,33.17
12,2,3,6.51
12,4,1,2.52
12,4,2,33.94
12,4,3,6.81
12,8,1,2.36
12,8,2,41.20
12,8,3,5.46
12,16,1,2.42
12,16,2,32.96
12,16,3,10.07
12,32,1,2.35
12,32,2,39.30
12,32,3,6.15
12,64,1,3.74
12,64,2,49.23
12,64,3,5.63
12,128,1,4.46
12,128,2,37.89
12,128,3,7.38
12,256,1,2.63
12,256,2,35.86
12,256,3,9.13
12,512,1,2.20
12,512,2,35.33
12,512,3,5.76
12,1024,1,2.28
12,1024,2,36.45
12,1024,3,5.71
12,2048,1,2.15
12,2048,2,36.26
12,2048,3,7.18
12,4096,1,2.88
12,4096,2,38.34
12,4096,3,5.42
12,8192,1,4.93
12,8192,2,34.78
12,8192,3,10.94
12,16384,1,2.26
12,16384,2,39.63
12,16384,3,7.82
12,32768,1,2.28
12,32768,2,37.99
12,32768,3,8.08
12,65536,1,2.68
12,65536,2,34.47
12,65536,3,5.93
12,131072,1,2.09
12,131072,2,35.70
12,131072,3,5.30
12,262144,1,2.66
12,262144,2,35.78
12,262144,3,5.44
12,524288,1,2.39
12,524288,2,35.99
12,524288,3,5.59
12,1048576,1,2.33
12,1048576,2,34.38
12,1048576,3,6.94
14,2,1,3.05
14,2,2,58.02
14,2,3,18.08
14,4,1,5.23
14,4,2,44.66
14,4,3,6.92
14,8,1,4.48
14,8,2,44.31
14,8,3,14.56
14,16,1,3.04
14,16,2,47.81
14,16,3,7.29
