Processes,Size,Algorithm,Latency
2,2,1,0.40
2,2,2,0.21
2,2,3,0.22
2,4,1,0.19
2,4,2,0.21
2,4,3,0.22
2,8,1,0.23
2,8,2,0.25
2,8,3,0.23
2,16,1,0.20
2,16,2,0.21
2,16,3,0.21
2,32,1,0.23
2,32,2,0.22
2,32,3,0.23
2,64,1,0.28
2,64,2,0.30
2,64,3,0.25
2,128,1,2.00
2,128,2,2.06
2,128,3,2.03
2,256,1,2.56
2,256,2,2.50
2,256,3,2.60
2,512,1,2.69
2,512,2,2.89
2,512,3,2.91
2,1024,1,2.95
2,1024,2,3.04
2,1024,3,3.06
2,2048,1,3.00
2,2048,2,3.33
2,2048,3,3.31
2,4096,1,5.32
2,4096,2,5.70
2,4096,3,5.67
2,8192,1,5.74
2,8192,2,6.08
2,8192,3,6.01
2,16384,1,3.25
2,16384,2,3.22
2,16384,3,3.35
2,32768,1,5.26
2,32768,2,5.36
2,32768,3,5.34
2,65536,1,6.72
2,65536,2,7.45
2,65536,3,6.80
2,131072,1,9.83
2,131072,2,9.97
2,131072,3,10.22
2,262144,1,16.13
2,262144,2,16.69
2,262144,3,16.43
2,524288,1,29.99
2,524288,2,30.63
2,524288,3,31.05
2,1048576,1,64.03
2,1048576,2,63.94
2,1048576,3,64.04
4,2,1,0.55
4,2,2,0.37
4,2,3,0.70
4,4,1,0.21
4,4,2,0.19
4,4,3,0.47
4,8,1,0.35
4,8,2,0.27
4,8,3,0.46
4,16,1,0.21
4,16,2,0.32
4,16,3,0.73
4,32,1,0.24
4,32,2,0.32
4,32,3,0.55
4,64,1,0.33
4,64,2,0.30
4,64,3,0.51
4,128,1,5.42
4,128,2,7.40
4,128,3,5.89
4,256,1,4.33
4,256,2,3.76
4,256,3,3.99
4,512,1,3.96
4,512,2,3.85
4,512,3,4.28
4,1024,1,4.32
4,1024,2,5.63
4,1024,3,5.15
4,2048,1,5.54
4,2048,2,5.42
4,2048,3,6.28
4,4096,1,7.71
4,4096,2,8.79
4,4096,3,10.85
4,8192,1,10.15
4,8192,2,9.12
4,8192,3,13.07
4,16384,1,6.51
4,16384,2,6.93
4,16384,3,11.15
4,32768,1,10.62
4,32768,2,9.40
4,32768,3,17.24
4,65536,1,17.05
4,65536,2,16.05
4,65536,3,24.49
4,131072,1,29.75
4,131072,2,29.98
4,131072,3,39.94
4,262144,1,51.88
4,262144,2,56.89
4,262144,3,67.55
4,524288,1,106.06
4,524288,2,114.29
4,524288,3,124.68
4,1048576,1,238.50
4,1048576,2,231.16
4,1048576,3,252.16
6,2,1,0.60
6,2,2,0.68
6,2,3,1.09
6,4,1,0.28
6,4,2,0.35
6,4,3,0.85
6,8,1,0.41
6,8,2,0.37
6,8,3,1.21
6,16,1,0.33
6,16,2,0.37
6,16,3,1.15
6,32,1,0.45
6,32,2,0.48
6,32,3,1.10
6,64,1,0.41
6,64,2,0.50
6,64,3,0.96
6,128,1,7.55
6,128,2,7.05
6,128,3,8.75
6,256,1,6.57
6,256,2,6.23
6,256,3,6.84
6,512,1,6.85
6,512,2,6.59
6,512,3,7.63
6,1024,1,7.88
6,1024,2,7.56
6,1024,3,9.36
6,2048,1,6.62
6,2048,2,7.61
6,2048,3,9.62
6,4096,1,12.86
6,4096,2,26.25
6,4096,3,17.71
6,8192,1,14.12
6,8192,2,13.07
6,8192,3,18.02
6,16384,1,7.63
6,16384,2,8.87
6,16384,3,16.36
6,32768,1,12.41
6,32768,2,13.83
6,32768,3,22.48
6,65536,1,23.20
6,65536,2,25.19
6,65536,3,34.38
6,131072,1,45.47
6,131072,2,44.91
6,131072,3,61.14
6,262144,1,96.44
6,262144,2,91.87
6,262144,3,112.98
6,524288,1,182.45
6,524288,2,176.29
6,524288,3,219.10
6,1048576,1,347.81
6,1048576,2,343.61
6,1048576,3,442.25
8,2,1,0.80
8,2,2,0.89
8,2,3,2.17
8,4,1,1.56
8,4,2,0.73
8,4,3,1.91
8,8,1,0.50
8,8,2,0.71
8,8,3,1.47
8,16,1,0.64
8,16,2,0.71
8,16,3,1.32
8,32,1,0.89
8,32,2,1.40
8,32,3,1.51
8,64,1,1.07
8,64,2,0.73
8,64,3,1.65
8,128,1,15.98
8,128,2,4.77
8,128,3,10.36
8,256,1,18.80
